chest_c,waist_c,gender,size,size_value,height,weight
107.4,93.3,Male,XL,4,180.34,81.65
102.1,87.0,Male,XL,4,172.72,72.57
112.0,96.4,Male,XL,4,172.72,92.99
111.4,85.7,Male,L,3,167.64,79.38
104.8,86.8,Male,L,3,195.58,96.62
106.6,95.0,Male,XL,4,175.26,79.38
120.8,107.3,Male,XXL,5,182.88,113.4
108.7,101.0,Male,XXL,5,187.96,95.71
118.1,106.5,Male,XXL,5,177.8,99.79
96.4,82.4,Male,M,2,182.88,72.57
111.7,99.4,Male,XXL,5,177.8,88.45
96.1,86.6,Male,L,3,175.26,70.31
115.1,98.6,Male,XXL,5,182.88,104.33
123.1,104.5,Male,XXL,5,190.5,113.4
106.0,100.7,Male,XXL,5,172.72,90.72
109.2,103.3,Male,XXL,5,175.26,88.9
108.5,90.8,Male,XL,4,170.18,77.11
111.8,102.8,Male,XXL,5,177.8,97.52
99.9,87.4,Male,XL,4,177.8,75.75
112.7,99.9,Male,XXL,5,177.8,91.63
100.0,83.7,Male,M,2,180.34,74.84
97.7,88.0,Male,XL,4,167.64,73.94
107.9,97.8,Male,XXL,5,167.64,79.38
101.1,82.7,Male,M,2,200.66,97.52
109.8,103.0,Male,XXL,5,177.8,96.16
95.7,88.5,Male,XL,4,162.56,61.23
115.8,113.0,Male,XXL,5,185.42,104.33
96.4,91.2,Male,XL,4,180.34,79.83
97.1,86.4,Male,L,3,175.26,80.74
105.7,96.5,Male,XL,4,185.42,90.72
95.7,77.7,Male,M,2,190.5,76.2
110.8,106.3,Male,XXL,5,180.34,92.99
94.7,87.0,Male,XL,4,165.1,68.04
104.3,96.6,Male,XL,4,187.96,89.81
96.5,80.6,Male,M,2,180.34,68.49
117.4,109.6,Male,XXL,5,180.34,88.0
95.1,89.5,Male,XL,4,172.72,68.04
118.2,121.4,Male,XXL,5,187.96,124.74
98.1,79.0,Male,M,2,172.72,77.11
108.6,100.2,Male,XXL,5,175.26,87.54
86.5,74.8,Male,S,1,177.8,61.23
120.5,104.3,Male,XXL,5,170.18,85.28
101.3,86.4,Male,L,3,185.42,79.38
115.2,96.9,Male,XL,4,172.72,86.18
109.6,109.5,Male,XXL,5,177.8,97.52
95.7,77.0,Male,M,2,167.64,65.77
98.5,84.0,Male,M,2,175.26,70.31
106.3,102.8,Male,XXL,5,175.26,83.91
113.7,102.1,Male,XXL,5,190.5,100.7
110.6,106.1,Male,XXL,5,167.64,86.18
116.6,113.9,Male,XXL,5,180.34,108.86
108.1,92.2,Male,XL,4,185.42,83.91
100.6,99.5,Male,XXL,5,165.1,73.03
115.3,104.7,Male,XXL,5,177.8,97.52
103.7,88.5,Male,XL,4,170.18,78.47
146.9,137.9,Male,XXL,5,182.88,140.61
90.1,75.0,Male,S,1,180.34,66.68
107.1,97.0,Male,XL,4,177.8,86.18
126.3,106.8,Male,XXL,5,172.72,99.79
114.6,101.2,Male,XXL,5,190.5,97.52
85.8,75.4,Male,XS,0,162.56,57.15
104.4,92.6,Male,XL,4,175.26,72.57
90.4,82.7,Male,M,2,185.42,72.57
103.3,94.0,Male,XL,4,172.72,78.93
116.0,113.3,Male,XXL,5,175.26,99.79
97.1,84.3,Male,L,3,170.18,66.22
105.0,102.1,Male,XXL,5,167.64,81.65
121.3,106.1,Male,XXL,5,187.96,106.59
94.4,78.6,Male,M,2,177.8,68.04
98.9,85.5,Male,L,3,162.56,71.67
97.5,83.0,Male,M,2,175.26,74.84
93.9,74.3,Male,M,2,172.72,63.5
109.1,96.7,Male,XL,4,162.56,74.39
98.3,92.2,Male,XL,4,175.26,74.84
